D:\marjan\data\procon\with_context_aaai\abortion\arguments/con2_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Life begins at conception, so unborn babies are human beings with a right to life. Upon fertilization, a human individual is created with a unique genetic identity that remains unchanged throughout his or her life. This individual has a fundamental right to life, which must be protected. Jerome Lejeune, the French geneticist who discovered the chromosome abnormality that causes Down syndrome, stated that ""To accept the fact that after fertilization has taken place a new human has come into being is no longer a matter of taste or opinion... The human nature of the human being from conception to old age is not a metaphysical contention, it is plain experimental evidence.""  "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con3_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Fetuses feel pain during the abortion procedure. Maureen Condic, PhD, Associate Professor of Neurobiology and Anatomy and Adjunct Associate Professor of Pediatrics at the University of Utah School of Medicine, explains that the ""most primitive response to pain, the spinal reflex,"" is developed by eight weeks gestation, and adds that ""There is universal agreement that pain is detected by the fetus in the first trimester.""  According to Kanwaljeet J. S. Anand, MBBS, DPhil, Professor of Pediatrics, Anesthesiology and Neurobiology at the University of Tennessee Health Science Center, ""If the fetus is beyond 20 weeks of gestation, I would assume that there will be pain caused to the fetus. And I believe it will be severe and excruciating pain.""  Bernard N. Nathanson, MD, the late abortion doctor who renounced his earlier work and became a pro-life activist, stated that when an abortion is performed on a 12-week-old fetus, ""We see in an ultrasound image the child's mouth open in a silent scream... This is the silent scream of a child threatened imminently with extinction."" "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con4_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Abortion is the killing of a human being, which defies the word of God. The Bible does not draw a distinction between fetuses and babies: the Greek word brephos is used in the Bible to refer to both an unborn child and an infant.  By the time a baby is conceived, he or she is recognized by God, as demonstrated in Jeremiah 1:5: ""Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee.""  The Sixth Commandment of the Bible's Old Testament, ""Thou shalt not kill"" (Exodus 20:13), applies to all human beings, including unborn babies.  In the Hindu religion, the holy text Kaushitaki Upanishad states that abortion is an equivalent misdeed to killing one's own parents.  The BBC states that ""Traditional Buddhism rejects abortion because it involves the deliberate destroying of a life."" "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con5_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"The decision in Roe v. Wade was wrong and should be overturned. US Supreme Court Justice Antonin Scalia stated that the right to privacy defended in Roe v. Wade is ""utterly idiotic"" and should not be considered binding precedent: ""There is no right to privacy in the US Constitution.""   In his dissenting opinion in Roe v. Wade, Justice William H. Rehnquist stated that an abortion ""is not 'private' in the ordinary usage of that word. Nor is the 'privacy' that the Court finds here even a distant relative of the freedom from searches and seizures protected by the Fourth Amendment to the Constitution...""  Furthermore, the 14th Amendment bars states from depriving ""any person of life, liberty, or property, without due process of law.""  The Supreme Court overreached in Roe v. Wade when it excluded unborn children from the class of ""persons.""  "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con6_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Abortions cause psychological damage. A peer-reviewed study published in the Scandinavian Journal of Public Health found that ""Young adult women who undergo... abortion may be at increased risk for subsequent depression.""  A peer-reviewed study published in BMC Medicine found that women who underwent an abortion had ""significantly higher"" anxiety scores on the Hospital Anxiety and Depression Scale up to five years after the pregnancy termination.  A peer-reviewed study published by the Southern Medical Journal of more than 173,000 American women found that women who aborted were 154% more likely to commit suicide than women who carried to term.  A study published in the British Medical Journal reported that the mean annual suicide rate amongst women who had an abortion was 34.7 per 100,000, compared with a mean rate of 11.3 per 100,000 in the general population of women.  A Journal of Social and Clinical Psychology study of men whose partners had abortions found that 51.6% of the men reported regret, 45.2% felt sadness, and 25.8% experienced depression. "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con7_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Abortions reduce the number of adoptable babies. Instead of having the option to abort, women should give their unwanted babies to people who cannot conceive. The percentage of infants given up for adoption in the United States declined from 9% of those born before 1973 to 0.5% of those born in 2014.   As a result of the lack of women putting their children up for adoption, the number of US infant adoptions dropped from about 90,000 in 1971 to 18,329 in 2014.   Around 2.6 million Americans are seeking to adopt children. "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con8_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination. Physical limitations don't make those with disabilities less than human. The Americans with Disabilities Act of 1990  provides civil rights protection to people born with disabilities so they can lead fulfilling lives. The National Down Syndrome Society states that ""people with Down syndrome live at home with their families and are active participants in the educational, vocational, social, and recreational activities of the community. People with Down syndrome are valued members of their families and their communities, contributing to society in a variety of ways.""  The increase in abortions of babies with Down syndrome (over 80% of women choose to abort Down syndrome babies ) reduced the Down syndrome population by 15% between 1989 and 2005. "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/con9_argument.txt,0,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Women should not be able to use abortion as a form of contraception. It is immoral to kill an unborn child for convenience.  The Guttmacher Institute reported that 45% of all women having abortions every year have had at least one previous abortion,  while 8.6% of abortions reported to the Centers for Disease Control and Prevention in 2014 were undergone by women who had three or more previous abortions.  This suggests that many women are using abortion as a contraceptive method.  Freakonomics co-author Steven Levitt, PhD, wrote that after abortion was legalized, ""Conceptions rose by nearly 30 percent, but births actually fell by 6 percent, indicating that many women were using abortion as a method of birth control, a crude and drastic sort of insurance policy.""  "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/pro2_argument.txt,1,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Reproductive choice empowers women by giving them control over their own bodies. The choice over when and whether to have children is central to a woman's independence and ability to determine her future.  Former Supreme Court Justice Sandra Day O'Connor wrote in the 1992 decision in Planned Parenthood v. Casey, ""The ability of women to participate equally in the economic and social life of the Nation has been facilitated by their ability to control their reproductive lives.""  Supreme Court Justice Ruth Bader Ginsburg wrote in her dissenting opinion in Gonzales v. Carhart (2007) that undue restrictions on abortion infringe upon ""a woman's autonomy to determine her life's course, and thus to enjoy equal citizenship stature.""  CNN senior legal analyst Jeffrey Toobin, JD, stated that Roe v. Wade was ""a landmark of what is, in the truest sense, women's liberation."" "
D:\marjan\data\procon\with_context_aaai\abortion\arguments/pro3_argument.txt,1,"The debate over whether or not abortion should be a legal option continues to divide Americans long after the US Supreme Court's 7-2 decision on Roe v. Wade  declared the procedure a ""fundamental right"" on Jan. 22, 1973. Proponents, identifying themselves as pro-choice, contend that choosing abortion is a right that should not be limited by governmental or religious authority, and which outweighs any right claimed for an embryo or fetus. They say that pregnant women will resort to unsafe illegal abortions if there is no legal option. Opponents, identifying themselves as pro-life, contend that individual human life begins at fertilization, and therefore abortion is the immoral killing of an innocent human being. They say abortion inflicts suffering on the unborn child, and that it is unfair to allow abortion when couples who cannot biologically conceive are waiting to adopt.",Should Abortion Be Legal?,"Personhood begins after a fetus becomes ""viable"" (able to survive outside the womb) or after birth, not at conception.   Embryos and fetuses are not independent, self-determining beings, and abortion is the termination of a pregnancy, not a baby. A person's age is calculated from birth date, not conception, and fetuses are not counted in the US Census. The majority opinion in Roe v. Wade states that ""the word 'person,' as used in the Fourteenth Amendment of the US Constitution, does not include the unborn."" "
